date,is_boarded,fire,homeless,address,zip_code,ward,community_area,latitude,longitude
2018-05-02,1,0,0,6801 S ada st,60636,17,67,41.77044333376012,-87.65790207017393
2018-05-03,0,0,0,7626 S peoria st,60620,17,71,41.75558851902141,-87.64659569294867
2018-05-03,0,0,0,7954 S constance ave,60617,8,46,41.750564441353795,-87.58003010263651
2018-05-03,0,0,0,5839 S indiana ave,60637,20,40,41.788550540146105,-87.62068652959026
2018-05-03,1,0,0,5754 S honore st,60636,15,67,41.78932263704581,-87.67052885614298
2018-05-03,1,1,0,7200 S may st,60621,6,68,41.7632564514363,-87.65285607885568
2018-12-03,0,0,1,7642 S dr martin luther king jr dr,60619,6,69,41.755811953498025,-87.61506455453612
2018-12-03,0,0,1,3928 W fillmore st,60624,24,29,41.868011900200166,-87.72348539329901
2018-12-03,0,0,0,12023 S princeton ave,60628,34,53,41.675705210707676,-87.62980372344605
2018-12-03,0,0,1,1434 S harding ave,60623,24,29,41.86190603552373,-87.72383101209643
2018-12-03,0,0,0,6550 S wolcott ave,60636,15,67,41.77573779606399,-87.67139875053613
2018-12-03,0,0,0,7200 S morgan st,60621,6,68,41.76330919614011,-87.64921893018341
2018-12-03,0,0,1,4117 S albany ave,60632,15,58,41.81850805414322,-87.7019135951242
2018-12-03,1,1,0,7913 S woodlawn ave,NA,8,45,41.75097465995965,-87.59548068297879
2018-12-03,0,0,0,727 E 61st st,60637,20,42,41.78403028536988,-87.6074224125694
2018-12-03,1,1,0,10749 S edbrooke ave,60628,9,49,41.69890147373471,-87.61965264610433
2018-12-03,0,0,1,135 W 112th st,60628,34,49,41.69073083895145,-87.62650727212879
2018-12-03,0,0,0,53 E 103rd pl,60628,9,49,41.70628536930675,-87.6217166424345
2018-12-03,0,0,0,11336 S state st,60628,34,49,41.68799210433159,-87.62296730052198
2018-05-03,0,0,1,7741 S bennett ave,60649,8,43,41.754459667302534,-87.57849218453795
2018-05-03,0,0,1,6920 S michigan ave,60637,6,69,41.76884885885054,-87.62178065698234
2018-05-03,0,0,0,3714 N bell ave,60618,47,5,41.948863810653584,-87.68467799518092
2018-05-03,0,0,0,7844 S emerald ave,60620,17,71,41.751105170089716,-87.64283427514513
2018-12-04,1,1,0,7438 S phillips ave,60649,7,43,41.75978931018988,-87.56477683847437
2018-12-04,0,0,1,7200 S campbell ave,60629,18,66,41.76283355097082,-87.68563761312737
